Variable01,Variable02,Variable03,Variable04,Variable05,Variable06,Variable07,Variable08,Variable09,Variable10,Variable11,Variable12,Variable13,Variable14,Variable15,Variable16,Variable17,Variable18,Variable19,Variable20,Variable21,Variable22,Variable23,Variable24,Variable25,Variable26,Variable27,Variable28,Amount,Class
-1.80,-0.12,0.38,1.65,0.64,-0.89,-0.38,-0.47,0.16,-0.49,-1.10,1.02,0.40,0.06,-1.60,-1.23,0.86,-1.00,1.05,-0.47,0.61,-0.31,-0.17,0.41,-0.83,-0.73,0.57,-0.15,32.77,0
1.76,-1.07,-1.61,-0.53,-0.34,-0.80,-0.20,-0.39,-0.17,0.71,-1.52,-0.36,0.28,0.17,0.47,-1.44,-0.36,1.32,-0.55,-0.50,-0.05,0.27,-0.15,-0.74,0.24,0.16,-0.02,-0.04,114.41,0
1.26,-0.80,0.81,-0.78,-1.04,0.53,-1.21,0.20,-0.25,0.60,-0.17,0.70,1.00,-0.64,-0.57,-0.74,-0.64,1.65,0.13,-0.39,-0.57,-0.70,-0.03,-0.64,0.13,1.18,-0.01,0.00,17.56,0
-0.26,0.49,1.05,-2.09,1.00,0.18,0.98,-0.33,0.07,-0.20,-0.27,-0.49,-0.64,-0.11,-0.04,1.00,-1.55,0.81,0.36,0.03,-0.17,-0.35,-0.37,-1.28,-0.20,0.71,-0.55,-0.35,2.17,0
1.45,-1.26,-1.43,-2.36,1.34,3.59,-1.08,0.73,-2.12,1.23,-0.19,-1.06,0.37,0.00,0.51,-0.28,0.14,0.21,0.21,-0.12,-0.24,-0.56,-0.09,1.03,0.82,-0.11,0.01,0.01,41.34,0
-2.03,1.84,-2.80,1.48,0.74,0.00,0.29,-3.34,-0.63,-0.48,1.25,0.95,0.35,-1.77,-0.91,0.23,1.83,1.14,0.70,-1.68,3.20,-0.64,0.90,-0.58,0.50,-0.25,0.72,-0.24,112.93,0
0.06,0.65,-0.14,-0.99,1.16,-0.15,1.01,-0.03,-0.26,-0.26,-0.10,0.78,0.64,0.16,-1.02,0.40,-0.88,0.04,0.65,0.05,-0.24,-0.49,-0.07,-1.21,-0.36,0.20,0.23,0.08,7.16,0
-0.39,0.70,1.05,-2.45,0.35,-0.95,0.97,-0.31,0.50,-1.00,0.93,0.87,-0.13,0.21,0.21,-0.25,-0.97,0.63,0.26,0.07,0.08,0.70,-0.31,0.00,0.10,-0.98,0.21,-0.02,1.19,0
-1.57,-0.30,2.03,-1.61,-0.53,0.28,-0.77,0.97,-1.88,-0.23,0.94,0.17,-0.55,0.55,0.56,-0.91,0.13,1.02,-1.85,-0.35,-0.26,-0.64,0.07,-0.29,-0.29,0.94,-0.09,-0.10,35.37,0
1.06,0.21,0.77,0.67,-0.37,-0.57,-0.12,-0.18,1.49,-0.56,2.41,-0.61,2.43,1.26,-1.31,-0.05,0.35,-0.13,0.25,-0.08,-0.26,-0.60,0.07,0.65,0.23,0.41,-0.07,0.00,4.00,0
1.73,-0.35,-2.00,0.25,0.52,-0.24,0.10,-0.04,0.76,-0.74,0.87,0.81,-0.22,-1.28,-0.59,0.45,0.76,0.72,0.56,0.11,-0.20,-0.68,0.04,0.08,-0.05,-0.10,-0.04,0.00,153.93,0
0.90,-0.91,-0.04,0.60,-0.68,-0.22,-0.13,-0.06,-0.84,0.89,-1.07,-0.75,-0.91,0.43,1.20,-1.47,0.03,1.24,-1.29,-0.26,-0.23,-0.57,-0.13,-0.33,0.46,-0.33,0.02,0.04,136.38,0
-0.61,1.20,1.09,1.41,-0.19,2.77,-3.08,-5.18,-0.15,-1.14,-0.61,2.54,0.76,0.03,-2.49,-0.66,0.68,-0.34,1.34,1.32,-3.41,0.00,-0.01,-1.43,0.90,-0.21,0.15,0.25,19.27,0
-0.72,1.41,1.12,-0.01,-0.18,-0.73,0.29,-0.77,0.06,-0.08,-0.50,-0.68,-1.37,-0.20,1.12,0.45,0.16,0.02,-0.12,-0.02,0.49,-1.04,0.11,0.28,-0.11,0.08,0.38,0.13,6.05,0
1.63,-1.11,-0.90,0.28,0.44,2.08,-0.57,0.48,0.60,0.01,1.11,1.06,-0.31,0.42,0.76,-0.91,0.35,-1.63,-1.09,-0.06,0.25,0.57,0.15,-2.16,-0.57,0.35,0.00,-0.07,172.26,0
-0.01,0.73,0.15,-0.81,0.83,-0.43,0.91,0.01,-0.30,-0.25,0.44,0.55,-0.15,0.32,-0.95,0.14,-0.62,-0.20,0.29,-0.03,-0.24,-0.62,0.02,-0.44,-0.54,0.16,0.27,0.07,0.96,0
-1.38,2.39,0.29,2.46,-0.18,1.10,-1.32,-1.45,-1.92,-0.17,-2.07,1.07,1.82,0.26,-1.13,1.40,-0.80,0.04,-1.97,0.22,-0.73,1.28,0.25,0.70,-0.36,-0.06,-0.38,-0.11,44.97,0
-0.56,0.34,0.27,-0.25,2.35,3.60,0.06,0.94,-0.26,-0.52,-0.84,-0.06,-0.25,-0.06,-0.44,-0.15,-0.46,0.25,0.43,0.14,0.00,-0.05,-0.19,1.19,0.26,-0.38,0.11,0.11,36.40,0
-0.61,-0.03,1.42,-1.53,0.21,-0.98,0.92,-0.63,-1.02,0.52,-0.39,-0.93,0.50,-0.63,0.13,1.31,-0.27,-1.89,0.41,0.11,-0.37,-0.96,-0.11,0.00,-0.18,-0.91,-0.55,-0.22,74.29,0
1.07,-2.29,-1.66,0.47,-0.52,0.34,0.28,-0.06,0.93,-0.38,-0.09,1.35,0.35,0.17,-0.47,0.28,-0.71,0.29,0.96,0.93,-0.09,-1.37,-0.19,-1.24,-0.41,-1.03,-0.04,0.04,600.19,0
1.66,-1.77,-3.20,-0.57,-0.44,-2.09,0.68,-0.75,-0.95,0.74,-0.83,-1.74,-1.82,0.97,-0.26,0.13,0.64,-1.29,0.59,0.45,0.70,1.15,-0.61,0.06,0.64,0.24,-0.19,-0.04,358.90,0
1.87,-0.04,-2.97,0.26,2.56,2.67,0.00,0.54,0.04,0.24,-0.29,0.29,-0.37,0.58,-0.13,-0.75,-0.26,-0.78,-0.25,-0.26,0.04,0.24,0.04,0.66,0.54,-0.41,0.00,-0.06,1.66,0
1.99,0.27,-2.41,0.79,0.59,-0.71,0.13,-0.16,0.41,-1.00,0.95,0.58,-0.29,-2.70,-1.02,0.56,1.59,1.03,0.06,-0.12,0.02,0.31,-0.11,-0.46,0.23,0.85,-0.04,-0.02,13.42,0
1.09,0.28,0.65,0.85,-0.55,-1.28,0.13,-0.30,-0.11,-0.09,0.33,0.97,1.06,0.13,0.85,0.12,-0.25,-0.97,-0.29,-0.05,-0.23,-0.62,0.19,0.76,0.19,0.06,-0.03,0.02,2.02,0
2.63,-1.22,-0.95,-1.76,-1.28,-0.40,-1.07,-0.16,-1.07,1.75,-1.35,-0.75,0.55,-0.46,-0.06,-0.41,0.27,0.08,-0.08,-0.36,-0.14,-0.03,0.27,0.36,-0.20,-0.23,0.01,-0.04,30.81,0
-0.20,0.84,-0.90,-1.20,1.18,-1.28,1.52,-0.39,-0.69,-0.37,0.52,0.77,0.00,1.00,-0.98,-0.51,-0.59,0.13,0.24,0.04,0.35,1.05,-0.18,-0.36,-0.25,0.07,0.46,0.31,34.40,0
1.21,-0.82,0.69,0.56,-1.20,-0.09,-0.85,0.11,-0.55,0.91,-0.76,-0.86,-1.10,0.34,1.34,-1.35,0.02,1.46,-1.50,-0.47,-0.15,-0.24,-0.01,0.00,0.27,-0.30,0.07,0.04,92.07,0
-1.37,1.02,0.78,-0.61,0.94,-0.14,0.47,0.29,-0.50,-0.63,0.07,-0.07,-0.40,-0.11,-0.02,1.20,-0.90,0.91,0.13,-0.12,-0.17,-0.83,-0.27,-1.11,-0.12,-0.04,-0.52,-0.16,1.98,0
-0.53,-0.17,0.90,-4.09,0.02,-0.71,0.51,-0.08,-0.42,-1.16,0.05,0.01,-0.91,0.38,-0.58,-2.01,-0.33,2.41,-0.14,-0.43,-0.03,0.50,-0.69,-0.36,1.09,0.14,0.01,0.02,13.80,0
1.09,0.13,0.86,0.89,-0.23,0.35,-0.46,0.15,0.07,0.15,0.56,0.89,0.64,0.09,0.53,0.94,-1.12,0.70,0.03,-0.03,-0.02,-0.04,-0.09,-0.55,0.37,-0.46,0.05,0.03,10.56,0
-2.05,3.89,-4.33,1.43,-0.34,-1.63,-1.27,2.14,0.53,-1.38,3.44,-1.12,2.21,-0.60,-0.39,1.20,4.43,2.09,-0.94,0.06,-0.10,-0.21,0.51,-0.41,-0.21,-0.46,0.03,-0.08,0.95,0
0.02,0.38,-0.57,-1.64,0.55,-1.39,1.12,-0.45,-1.49,0.38,-1.12,-0.51,-0.03,0.34,-1.10,-2.30,0.06,0.53,-0.88,-0.35,-0.15,0.29,-0.07,-0.04,-0.47,0.56,0.46,0.27,18.80,0
-0.64,1.15,0.90,-0.12,0.65,-0.59,0.67,-0.03,-0.18,-0.17,-0.97,-0.14,0.70,-0.65,0.98,0.64,-0.28,0.05,0.17,0.31,-0.30,-0.90,-0.12,-0.51,0.01,0.11,0.38,0.17,3.16,0
2.14,-0.17,0.21,1.50,-0.66,-0.17,-0.65,0.00,0.82,0.11,-0.64,0.98,1.31,-0.42,0.55,0.38,-0.68,0.01,-0.71,-0.17,0.09,0.46,0.27,-0.02,-0.29,-0.68,0.09,-0.02,11.40,0
1.63,-1.02,0.09,-0.09,-1.38,0.40,-1.45,0.14,1.04,0.37,-1.79,0.85,1.05,-1.02,-0.63,-1.62,-0.26,1.18,-0.32,-0.59,-0.48,-0.36,0.23,-0.66,-0.34,-0.29,0.11,-0.02,34.86,0
-1.77,1.08,1.17,-0.27,-0.19,-0.80,0.26,0.30,-0.55,-0.57,0.25,0.98,0.59,0.20,0.70,0.07,-0.04,-1.21,-1.43,-0.16,-0.10,-0.52,-0.11,0.51,0.17,0.00,-0.34,-0.06,9.17,0
-0.47,0.95,2.67,2.30,-0.62,0.26,0.57,0.08,-0.64,0.09,-0.79,0.50,0.51,-0.79,-1.17,-0.55,0.33,-0.58,0.17,0.16,0.02,0.27,0.02,0.80,0.07,0.09,0.06,0.06,88.79,0
-1.30,1.17,0.98,-1.06,-1.00,-1.29,1.10,0.19,-0.36,-0.79,-0.29,0.15,-0.11,0.36,0.27,0.40,-0.31,-0.70,-0.71,-0.12,-0.11,-0.46,0.16,0.85,-0.39,0.57,0.03,0.10,102.90,0
-1.00,1.96,1.15,3.08,-0.36,-0.35,1.49,0.09,-1.87,0.37,-0.23,-0.06,0.59,0.74,0.85,-0.36,0.38,-0.28,0.98,0.05,0.13,0.24,-0.15,0.69,0.47,0.35,-0.19,-0.02,127.86,0
1.15,1.30,-1.81,1.50,0.91,-1.39,0.67,-0.20,-0.51,-1.41,2.21,-0.28,-0.72,-2.82,0.39,1.46,2.28,2.13,-0.44,-0.06,-0.19,-0.48,-0.29,-0.33,0.68,-0.27,0.03,0.07,1.02,0
0.30,0.85,-1.47,-0.38,0.79,-0.37,0.40,0.40,-0.19,-0.83,-0.38,-0.29,-0.71,-0.24,0.15,0.99,-0.10,1.45,0.61,-0.23,0.23,0.63,-0.30,-1.60,-0.13,-0.09,-0.09,-0.07,2.93,0
0.52,0.09,-0.78,-0.88,0.11,-0.67,0.37,-0.61,-3.87,2.02,-0.61,-0.77,1.42,0.06,0.87,-2.46,1.25,-0.04,2.43,0.01,0.17,1.11,-0.15,0.63,-0.68,0.39,0.14,0.28,5.74,0
-0.55,0.37,1.38,-0.15,-0.57,1.17,-0.57,0.91,0.50,-0.75,-1.83,-0.72,-0.83,-0.07,0.51,-0.26,0.57,-0.12,1.97,-0.01,-0.15,-0.26,-0.03,-1.17,-0.66,1.01,-0.02,0.06,45.37,0
2.31,-1.40,-1.14,-1.39,-1.04,-0.39,-1.10,-0.07,-1.13,1.76,0.23,-0.60,-0.79,-0.13,-1.59,-1.07,0.57,0.33,0.32,-0.45,0.02,0.59,0.07,0.80,0.18,0.07,-0.02,-0.07,19.95,0
-1.65,0.78,1.76,0.68,0.02,-0.02,0.58,-0.33,-0.30,1.50,-0.84,-1.03,-0.38,-0.65,-0.06,1.19,-1.19,-0.43,-1.52,-0.04,0.05,0.46,-0.20,0.05,-0.59,2.44,-1.27,-0.40,31.12,0
-0.11,-1.25,1.09,-2.43,-0.26,-0.78,-0.36,-0.40,-1.63,1.59,-0.77,-1.47,-0.03,-1.10,-0.24,-0.85,0.34,-0.04,-0.63,-0.33,-0.16,0.26,-0.06,1.14,-0.42,-0.30,-0.29,-0.30,26.64,0
1.33,-0.54,0.82,-0.24,-1.02,-0.13,-0.84,0.12,-1.00,0.92,1.80,0.58,-0.11,0.29,0.50,-1.39,-0.09,0.79,-1.24,-0.46,-0.58,-1.10,0.22,0.17,-0.14,0.21,0.01,0.02,28.00,0
-0.21,0.50,0.49,-0.19,0.83,-1.12,0.62,-0.19,-0.16,-0.36,-1.03,-0.37,-0.78,0.38,-0.04,-0.31,-0.13,-0.61,0.45,-0.09,-0.14,-0.38,0.17,-0.02,-1.04,0.15,0.14,0.24,1.72,0
1.11,-1.86,0.52,-0.91,-1.96,-0.86,-0.61,-0.25,-1.59,1.34,-0.36,-0.46,1.14,-0.44,0.85,-0.22,0.43,-0.12,-0.28,0.26,-0.24,-0.91,-0.04,0.45,0.08,-0.44,0.00,0.07,274.25,0
1.27,0.41,0.35,0.81,-0.35,-0.94,0.10,-0.22,-0.02,-0.32,-0.02,0.33,0.61,-0.33,1.20,0.48,-0.03,-0.34,-0.22,-0.05,-0.32,-0.90,0.12,0.42,0.25,0.09,-0.02,0.03,1.13,0
0.03,0.95,0.27,-0.58,0.37,-1.02,0.77,-0.12,0.06,-0.43,-1.00,-0.22,-0.75,0.26,-0.25,-0.08,-0.41,-0.76,-0.14,-0.08,-0.30,-0.72,0.10,-0.12,-0.57,0.16,0.21,0.09,6.61,0
0.68,-2.30,0.61,-0.02,-2.10,-0.21,-0.66,0.01,0.30,0.27,-0.86,-0.72,-0.87,-0.62,-0.52,0.80,0.89,-1.24,0.70,0.79,0.23,-0.11,-0.27,0.43,0.22,-0.33,-0.02,0.07,382.22,0
0.95,-0.04,1.46,1.10,-1.15,-0.73,-0.53,0.02,0.56,0.00,-0.20,0.06,-0.27,0.08,1.69,0.66,-0.47,0.33,-0.83,-0.07,0.13,0.35,0.01,0.68,0.26,-0.38,0.05,0.06,47.70,0
1.43,0.48,-0.43,0.92,0.00,-1.18,0.27,-0.17,-0.05,-0.68,0.51,-0.31,-0.99,-0.63,1.29,0.13,1.28,-0.34,-0.80,-0.17,-0.10,-0.22,0.00,0.23,0.36,0.37,-0.02,0.03,0.86,0
1.23,0.05,-0.82,0.07,0.77,0.11,0.43,-0.15,-0.46,0.04,0.14,1.08,1.08,0.44,0.07,0.62,-1.40,0.07,1.17,0.16,-0.43,-1.36,-0.19,-1.56,0.45,0.20,-0.08,0.00,84.55,0
-2.59,0.71,0.29,-1.34,2.28,0.18,-2.38,-3.08,1.48,0.42,-0.41,0.90,-0.39,0.08,-0.62,0.66,-1.32,0.47,-0.29,-1.49,2.41,-1.44,-2.26,-0.27,-1.28,-0.76,-0.19,0.66,4.74,0
1.10,-0.52,0.53,-1.03,-0.84,0.09,-0.82,0.18,2.00,-1.01,-0.94,-0.09,-1.19,0.08,1.39,-0.42,-0.08,0.15,0.58,-0.18,-0.05,0.06,-0.09,-0.72,0.44,-0.64,0.11,0.02,0.86,0
0.05,-1.84,0.56,1.76,-1.27,0.89,0.17,0.12,1.22,-0.61,-1.01,1.10,-0.07,-0.72,-1.32,-1.02,0.82,-1.22,0.00,0.85,-0.10,-0.85,-0.33,0.10,0.27,-0.58,-0.01,0.14,549.63,0
-3.18,-0.69,-0.92,-0.46,1.27,-0.59,2.66,-1.75,-0.19,3.20,-0.54,-0.94,0.24,-1.22,0.15,-2.28,-0.95,0.65,-0.98,-1.84,-0.72,0.39,0.36,0.70,0.15,-0.87,-3.02,-0.05,93.94,0
-1.03,0.66,1.04,-0.75,0.19,-0.16,0.45,-0.01,0.61,0.06,-1.68,-0.27,0.08,-0.39,0.42,0.40,-0.80,-0.06,0.72,0.07,-0.35,-0.57,0.19,-0.81,-0.56,0.36,0.27,0.27,26.54,0
-0.08,-0.26,1.19,-1.92,-0.68,-0.47,-0.06,-0.02,-0.08,-0.63,-0.51,0.56,0.67,-0.32,0.89,-3.68,0.99,0.49,0.94,-0.37,-0.54,-0.71,0.04,0.10,-0.24,-0.09,0.09,0.04,16.73,0
1.29,-0.64,0.33,-0.65,-0.96,-0.45,-0.45,-0.15,-0.96,0.52,0.07,-0.14,0.77,-0.27,0.81,0.69,0.56,-1.62,0.07,0.19,0.32,0.81,-0.16,0.17,0.52,-0.02,0.01,0.02,52.16,0
-0.26,0.95,1.22,0.87,0.16,-0.18,0.44,0.03,-0.94,-0.14,1.64,0.64,0.59,-0.13,0.91,0.01,0.23,0.61,2.37,0.25,-0.13,-0.47,-0.07,-0.01,-0.51,0.29,0.12,0.15,0.85,0
1.75,-0.10,-0.93,0.42,-0.20,-1.16,0.13,-0.32,0.75,0.10,-0.96,0.16,-0.47,0.36,0.11,-0.07,-0.24,-0.92,0.15,-0.29,-0.27,-0.70,0.37,0.03,-0.27,0.22,-0.09,-0.06,1.77,0
-0.40,1.06,1.21,-0.22,0.33,-0.41,0.73,0.04,-0.22,-0.30,-1.30,-0.86,-0.64,0.23,0.90,0.44,-0.77,0.02,0.38,0.07,-0.30,-0.78,-0.13,-0.56,-0.10,0.11,0.21,0.13,0.98,0
1.53,-0.86,0.28,-1.77,-1.28,-0.56,-1.24,-0.10,-1.90,1.53,1.00,-0.19,0.87,-0.22,-0.10,-0.15,0.12,0.90,0.06,-0.31,0.01,0.55,-0.12,0.03,0.62,0.01,0.03,0.00,0.80,0
2.07,-1.26,-0.41,-0.57,-1.04,0.52,-1.73,0.29,0.33,1.07,-0.22,-0.24,-0.71,-0.03,0.15,-0.44,-0.71,2.39,-0.54,-0.49,-0.34,-0.70,0.35,0.03,-0.59,0.53,-0.02,-0.03,36.47,0
-1.35,-0.40,0.75,-2.75,0.28,0.00,0.23,0.43,-2.00,-0.63,0.34,0.16,0.83,0.05,-0.92,1.78,-0.37,-0.95,0.68,0.55,-0.07,-0.91,0.11,0.04,0.53,-0.73,-0.14,-0.10,164.57,0
-3.34,-2.43,-0.58,-0.34,0.22,-1.67,0.64,-0.05,-1.34,0.53,-0.23,0.38,0.94,0.34,0.09,-1.62,0.11,0.26,-1.67,-0.84,-0.33,0.18,2.07,0.39,-0.47,0.29,0.20,0.40,222.66,0
2.40,-0.05,-1.52,0.37,0.24,-0.65,-0.06,-0.21,2.25,-0.48,-0.31,-3.57,-0.01,2.33,0.33,-0.11,0.15,0.81,-0.32,-0.33,0.09,0.45,0.01,0.47,0.34,-0.53,-0.03,-0.06,1.11,0
0.11,0.97,-0.28,-0.50,0.63,-1.11,0.77,-0.04,0.17,-0.75,-0.51,-0.66,-1.48,-0.78,-0.11,0.28,0.51,-0.16,-0.42,-0.11,-0.28,-0.83,0.18,0.96,-0.43,0.07,0.25,0.08,0.94,0
-1.96,-0.88,-0.16,0.52,-3.82,2.35,0.19,-5.08,0.07,-2.80,-1.00,0.64,-0.13,0.71,1.06,1.04,-0.32,0.33,-0.62,1.44,-2.14,0.29,-2.96,0.24,0.39,-0.20,0.85,0.03,1269.12,0
0.91,0.18,0.98,2.33,-0.51,-0.36,0.09,-0.04,-0.25,0.59,-0.85,-0.11,-0.82,0.12,-0.59,0.13,-0.04,-0.76,-0.76,-0.09,-0.17,-0.62,0.01,0.60,0.43,-0.12,-0.01,0.04,72.83,0
-0.26,1.18,0.58,-0.19,-0.03,-1.39,0.78,-0.31,1.41,-0.46,0.75,-2.19,1.58,1.33,-1.37,-0.40,0.65,-0.69,-0.52,0.01,-0.42,-0.68,0.19,0.87,-0.62,0.04,0.29,0.17,4.35,0
-2.35,0.69,1.83,0.74,-0.84,1.12,0.91,-1.43,1.53,2.01,0.97,-0.32,-1.12,-0.70,0.53,0.11,-0.70,1.03,0.95,-0.88,0.48,0.08,0.06,-0.04,0.25,-0.40,-1.90,-0.21,175.31,0
-0.16,1.43,-1.15,-0.51,1.15,-0.40,0.71,0.37,-0.22,-1.04,-1.29,0.14,0.67,-0.74,-0.28,0.66,0.32,-0.11,-0.09,-0.02,-0.38,-0.92,0.08,-0.06,-0.26,0.15,0.11,0.01,10.09,0
1.44,-0.21,-1.60,-1.18,2.42,2.86,-0.07,0.57,-0.23,-0.04,-0.02,-0.03,-0.06,0.74,0.87,0.28,-0.54,-0.27,0.52,0.15,-0.06,-0.45,-0.18,1.25,0.69,0.95,-0.13,-0.01,55.50,0
1.39,-0.57,-0.54,-0.79,1.34,3.34,-1.49,0.93,0.91,-0.24,-0.27,0.15,0.10,-0.24,0.74,0.76,-0.77,0.32,0.26,0.08,0.02,0.05,-0.06,1.29,0.33,1.07,-0.03,0.01,19.26,0
-0.48,0.74,-0.18,0.02,2.52,3.97,0.08,0.80,-0.68,0.16,-0.28,-0.33,0.02,0.47,1.57,-0.02,-0.51,0.64,0.93,0.44,0.11,0.23,-0.16,1.18,0.05,-0.19,0.42,0.20,26.75,0
1.42,-0.34,1.00,-0.84,-1.39,-0.82,-0.53,0.02,1.62,-1.10,-0.63,0.22,-1.03,0.05,1.61,-0.39,-0.10,0.31,0.66,-0.22,-0.02,0.12,-0.03,0.39,0.48,-0.58,0.07,0.04,1.06,0
0.99,0.10,0.90,1.14,-0.40,-0.04,-0.15,0.09,-0.22,0.05,2.06,1.69,1.05,0.30,0.72,0.21,-0.54,-0.35,-0.57,-0.01,-0.06,-0.23,0.09,0.23,0.20,-0.61,0.05,0.03,41.49,0
1.92,-0.28,-0.32,1.14,-0.67,-0.42,-0.30,-0.11,0.73,0.16,-0.70,0.73,1.00,-0.20,0.72,0.39,-0.67,0.16,-0.72,-0.04,0.30,0.89,0.07,0.00,-0.09,-0.55,0.06,-0.01,68.85,0
-15.00,-6.07,-5.70,-1.59,-1.30,1.04,0.40,0.72,2.66,0.44,0.64,1.46,0.62,0.15,2.08,1.16,-0.44,-0.60,-0.49,-5.77,-1.38,1.20,-0.02,-0.53,0.55,-0.39,-2.97,1.05,237.08,0
-3.34,-1.06,-1.09,0.13,1.65,-1.19,0.07,0.63,-0.66,-1.44,-1.38,0.11,0.33,-0.23,-0.03,0.76,0.68,0.03,0.15,-0.06,-0.19,-0.90,0.40,0.44,0.05,0.23,-0.04,-0.59,2.23,0
1.29,0.60,-0.41,1.31,0.11,-1.44,0.30,-0.28,-0.12,-0.77,0.14,0.03,0.25,-1.61,0.93,0.65,0.98,0.51,-0.55,-0.08,-0.06,-0.12,-0.13,0.22,0.83,-0.31,0.03,0.07,0.90,0
1.28,0.11,0.08,0.52,-0.15,-0.67,0.23,0.00,-0.38,0.08,2.08,0.69,-1.21,0.86,0.42,-0.09,-0.10,-0.82,-0.04,-0.13,-0.33,-0.79,0.16,0.19,0.14,0.16,-0.07,0.00,26.23,0
-2.73,1.01,1.27,1.15,-1.88,0.00,-0.83,1.32,-0.22,-0.42,0.58,0.34,-1.34,0.97,0.27,0.50,0.23,1.04,0.93,-0.53,0.09,0.36,0.33,0.56,0.37,-0.33,-0.19,-0.21,57.03,0
1.33,-1.47,0.82,-1.46,-2.01,-0.07,-1.13,0.06,-2.18,1.33,1.96,0.26,1.29,-0.42,0.36,-0.30,0.49,0.28,-0.64,-0.06,0.13,0.55,-0.07,0.28,0.16,-0.13,0.05,0.04,152.32,0
-0.47,-0.10,1.69,-2.37,0.04,0.09,0.04,-0.08,-1.21,-0.17,-1.41,0.20,3.00,-1.50,0.20,1.70,-1.03,-0.66,0.14,0.39,0.58,1.07,-0.23,-0.81,-0.01,-0.21,0.12,0.15,57.84,0
2.01,0.47,-1.07,4.04,0.72,0.68,0.05,0.16,-0.74,1.39,-0.33,0.20,-0.33,0.27,-2.32,0.62,-0.80,0.25,-0.77,-0.29,0.12,0.56,-0.03,0.21,0.24,0.15,-0.04,-0.05,11.23,0
-1.18,1.38,-0.05,-2.53,0.37,-0.96,0.78,0.53,0.17,-0.66,0.57,0.43,-1.43,0.83,-1.19,0.63,-0.91,-0.25,-0.52,0.02,-0.30,-0.85,-0.01,0.85,-0.02,0.30,0.24,0.22,0.92,0
2.31,-1.51,-0.62,-1.06,-0.82,-0.11,-0.95,0.06,-0.16,0.81,0.92,0.21,0.20,-0.25,-0.55,1.60,-0.14,-0.51,0.75,0.17,0.40,0.86,0.09,0.91,-0.17,-0.17,-0.01,-0.04,77.39,0
-0.92,0.59,3.21,-0.42,-0.01,0.73,-0.07,0.14,1.93,-0.93,-0.17,-3.04,1.87,0.61,0.09,0.67,-0.14,0.82,-0.85,0.23,-0.03,0.40,-0.37,0.68,0.35,0.39,0.09,-0.09,15.79,0
1.90,-0.18,-1.12,0.22,0.08,-0.59,0.04,-0.14,0.31,0.28,0.53,0.83,-0.24,0.49,-0.57,0.16,-0.53,-0.37,0.42,-0.25,-0.24,-0.78,0.33,-0.48,-0.30,0.24,-0.09,-0.07,6.04,0
-2.16,1.33,0.91,0.26,-1.32,-0.46,-0.79,0.96,0.32,-0.54,-1.59,-0.24,-1.24,0.48,-0.06,0.16,0.30,0.24,0.09,-0.29,0.19,0.53,-0.10,0.36,-0.15,0.48,-0.52,-0.26,33.59,0
1.12,-1.11,0.46,-1.25,-1.42,-0.62,-0.89,-0.26,-0.90,1.18,0.98,-3.08,2.92,0.93,0.01,-0.84,1.40,-0.39,-0.82,-0.22,-0.37,-0.56,0.12,0.00,0.24,-0.30,0.01,0.02,57.50,0
1.35,0.33,0.52,0.86,-0.48,-1.43,0.07,-0.24,0.04,-0.26,0.20,0.19,-0.11,-0.25,1.07,0.39,0.14,-0.39,-0.35,-0.09,-0.25,-0.83,0.20,0.72,0.16,0.06,-0.02,0.04,1.11,0
-0.58,1.31,-1.11,0.88,1.13,-0.73,0.83,0.03,-0.99,0.20,0.43,0.90,0.29,1.04,-0.39,-0.53,-0.41,0.36,1.01,-0.30,0.36,1.39,0.24,-0.32,-0.75,-0.48,-0.06,0.18,2.74,0
1.88,0.53,-0.87,4.19,0.86,0.04,0.28,-0.16,-1.18,1.60,-1.37,-0.57,0.06,0.46,-0.26,0.82,-1.17,-0.09,-1.77,-0.16,0.21,0.63,0.03,0.46,0.17,0.12,-0.06,-0.04,53.66,0
-2.29,2.25,-1.15,-1.56,-0.57,-0.03,-0.93,2.07,-0.33,-0.32,0.06,1.41,1.10,0.90,-0.14,1.09,-0.44,-0.05,-0.50,-0.03,0.04,-0.20,0.08,-0.89,0.11,0.78,-0.26,-0.01,0.80,0
0.56,-4.54,-0.90,-0.86,-2.31,0.39,-0.85,-0.16,-0.69,1.16,-1.22,-0.68,1.44,-0.83,1.35,0.49,-0.14,1.22,-0.92,1.26,0.55,0.22,-0.42,0.70,-0.80,-0.25,-0.09,0.14,851.79,0
-0.58,0.16,1.37,0.38,0.91,-0.23,0.50,-0.32,-0.35,0.46,0.79,-0.22,-0.53,0.09,0.77,0.11,-0.63,0.56,1.56,0.20,-0.23,-0.45,0.01,-0.53,-0.63,0.11,-0.39,-0.21,1.07,0
-1.14,0.38,1.18,-1.22,0.98,-0.68,0.70,0.00,-0.08,-0.89,-1.82,-1.19,-1.21,0.26,-0.14,0.37,-0.91,0.01,-0.27,-0.07,-0.07,-0.32,-0.36,-0.69,0.63,0.57,-0.08,0.03,8.20,0
1.80,-1.11,0.39,1.39,-0.92,1.34,-1.59,0.41,2.74,-0.15,-3.46,0.05,-0.78,-1.13,-1.31,0.06,-0.29,0.56,0.20,-0.28,0.07,0.59,-0.02,-0.95,-0.04,-0.37,0.14,-0.02,34.00,0
